,Top_10_Song,Performer_Count,Song_Name_Count,Debut_Position,Song_Name_Count,Performer_Count,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Debut_Season,Debut_Month,Debut_Decade,Key,Mode,Time_Signature
134,0,23,1,87,1,23,0.545,0.896,-6.449,0.758,3.73e-06,0.236,0.895,142.211,2.2991166666666665,Fall,October,50's,C,Major,4/4
135,0,26,1,88,1,26,0.734,0.603,-10.394,0.568,5.42e-06,0.106,0.787,108.594,2.2066666666666666,Fall,October,50's,D#,Major,4/4
136,1,13,3,90,3,13,0.671,0.434,-11.692,0.883,1.12e-05,0.0605,0.94,83.034,2.504,Fall,October,50's,C,Major,4/4
137,0,1,1,92,1,1,0.281,0.457,-7.38,0.783,0.0,0.205,0.29,190.127,2.3477833333333336,Fall,October,50's,D#,Major,3/4
138,1,30,1,95,1,30,0.786,0.641,-16.072,0.703,3.17e-06,0.152,0.948,139.472,2.19445,Fall,October,50's,F,Major,4/4
139,0,1,1,96,1,1,0.48,0.951,-5.809,0.868,0.928,0.178,0.93,157.358,1.696,Fall,October,50's,C,Major,4/4
140,0,1,1,97,1,1,0.604,0.658,-7.323,0.305,0.2,0.0849,0.91,78.257,2.6641,Fall,October,50's,Bb,Major,4/4
141,0,7,2,99,2,7,0.701,0.351,-10.27,0.97,0.000118,0.291,0.803,146.126,2.8588833333333334,Fall,October,50's,F,Major,4/4
142,0,1,1,100,1,1,0.716,0.514,-4.806,0.872,5.03e-05,0.283,0.569,121.143,2.3017833333333333,Fall,October,50's,D,Minor,4/4
143,1,16,1,70,1,16,0.661,0.682,-8.339,0.399,4.85e-06,0.0822,0.967,86.371,2.0906666666666665,Fall,October,50's,A,Major,4/4
144,0,19,1,82,1,19,0.581,0.74,-5.231,0.424,0.0,0.134,0.977,109.625,2.008,Fall,October,50's,D,Major,4/4
145,0,37,2,86,2,37,0.594,0.678,-7.621,0.583,0.0,0.535,0.876,139.199,2.22555,Fall,October,50's,E,Minor,4/4
146,0,6,1,89,1,6,0.465,0.448,-11.526,0.743,0.0,0.596,0.648,119.046,2.514883333333333,Fall,October,50's,D,Major,4/4
147,0,19,1,96,1,19,0.677,0.737,-11.17,0.417,0.0014,0.181,0.96,97.488,2.06955,Fall,October,50's,D,Major,4/4
148,0,26,1,97,1,26,0.22,0.288,-14.352,0.87,0.0,0.181,0.209,82.528,2.83555,Fall,October,50's,G,Major,4/4
149,0,1,2,51,2,1,0.466,0.892,-5.208,0.926,0.552,0.2,0.77,76.606,2.23445,Fall,October,50's,E,Minor,4/4
150,0,9,3,74,3,9,0.533,0.37,-12.607,0.652,0.0,0.101,0.587,110.548,2.576,Fall,October,50's,Bb,Major,3/4
151,0,11,1,76,1,11,0.0,0.287,-11.038,0.876,5.1e-06,0.112,0.0,0.0,2.9102333333333332,Fall,October,50's,D#,Major,4/4
152,1,16,1,86,1,16,0.508,0.0965,-18.283,0.856,0.012,0.102,0.296,77.906,2.264,Fall,October,50's,B,Major,4/4
153,0,26,1,90,1,26,0.693,0.622,-9.443,0.777,0.0,0.0945,0.864,88.184,2.1228833333333332,Fall,October,50's,F,Major,4/4
154,0,4,1,82,1,4,0.548,0.834,-7.264,0.763,0.0,0.0741,0.767,126.009,2.3566666666666665,Fall,October,50's,D,Minor,4/4
155,0,9,3,88,3,9,0.583,0.386,-10.93,0.598,0.0,0.127,0.607,116.0,2.68645,Fall,October,50's,G#,Major,3/4
156,0,31,1,89,1,31,0.571,0.316,-12.901,0.216,0.0,0.236,0.752,125.326,2.712666666666667,Fall,October,50's,Bb,Minor,4/4
157,0,3,2,97,2,3,0.68,0.243,-14.251,0.617,0.0,0.231,0.874,72.797,2.1973333333333334,Fall,October,50's,F,Major,4/4
